source	target	patristic_distance	sequence_distance	n_sites	lca_level
GBMIN79344-17	LPNGM083-07	0.248738	0.128458	644	14
DEPAL910-23	MDHQD2869-25	0.22444	0.120526	657	8
BCLEP4075-23	BGSNL2106-24	0.306446	0.137676	652	10
GWOSC716-10	LPOKD674-10	0.358967	0.119958	632	28
BHNHM197-24	LEFIJ20957-21	0.589011	0.0251643	651	31
GBGL21723-19	GBLN2347-09	0.743156	0.10695	583	37
GBAAM18087-25	GBAAM18125-25	0.0750975	0.0299587	650	25
DUDU147-13	GBAAX65385-24	0.118966	0.0554452	655	20
LEPKP130-10	NGSFT2424-16	0.402394	0.146115	634	1
GBGL26540-19	GBGL26615-19	0.031751	0.104618	656	8
AVLEP067-11	AVLEP074-11	0.161972	0.0544607	657	35
ARCTD1233-18	BCLEP4148-23	0.224215	0.135376	654	2
ANICO529-10	LOQT1103-10	0.198468	0.127421	548	41
GWOTD856-12	GWOTN552-15	0.0992358	0.0878293	657	63
GBAAX64892-24	GBMIN71155-17	0.192316	0.127806	419	41
GWORE165-08	GWORM989-09	0.0765785	0.122926	657	73
JICCX982-16	PLNDK912-20	0.221283	0.109687	588	12
CNCLA5413-13	GWOTM046-14	0.0876941	0.094223	657	58
CATSE072-13	LOCRI1795-12	0.107687	0.1083	657	64
LNAUV1792-17	LNAUY1200-19	0.0785058	0.0154589	656	54
ALLEP043-13	RDHP524-06	0.104045	0.0442364	657	40
LEPWP5014-25	LNAUU103-15	0.276269	0.149582	657	20
ABLCV382-09	ABLCV391-09	0.265524	0.0169927	656	58
SPPDA108-07	STBOC793-08	0.120798	0.0288542	642	37
LTOLB302-09	PMANL1369-11	0.400044	0.20862	627	15
LEPMY1805-17	LTOLB845-11	0.0881992	0.0139174	510	37
GBMIN79305-17	HABA219-22	0.65838	0.0632167	630	10
HYPOS319-23	LNAUV1454-17	1.04345	0.142683	562	1
FBLMZ758-12	PHLAF114-11	0.269444	0.119513	656	20
LASTS744-15	MNAI1003-16	0.192683	0.179718	607	9
BCIBT336-10	BDE549-19	0.280381	0.126361	656	18
GWOUE926-20	GWOUF455-20	0.155101	0.108754	656	76
ABOLA004-14	GWORR882-10	0.0445924	0.0281342	657	49
GWORM989-09	LOCBB068-06	0.113336	0.116314	657	74
SASNC2333-12	STBOA508-07	0.0451011	0.0329342	657	37
FRLAR287-18	GWOTG665-12	0.073271	0.102872	657	60
BLPDV2434-18	GWNC535-07	0.179632	0.102339	621	70
GWOR3248-08	GWOUP227-25	0.450174	0.12941	601	62
ANIAB1542-11	ANIAB1592-11	0.40574	0.0571735	545	30
BLPDT1784-10	FRLAR446-18	0.138094	0.105048	657	68
ARCTD543-12	BLPAA10786-17	0.133462	0.0624932	657	36
ANICF708-10	ANICF716-10	0.331451	0.0960605	511	36
HYPOS203-23	QMA080-13	0.780344	0.166655	657	0
IBILP1931-20	PHLAA454-09	0.278144	0.0687087	631	65
CRQUC12842-23	GWOSH145-10	0.0950445	0.124607	657	61
CRQZC5978-23	GWOUE888-20	0.0969732	0.123321	656	71
GWORP846-09	GWOTR218-16	0.425006	0.06182	541	60
BLPEG748-14	MOTAR019-12	0.153468	0.1083	657	34
BLPDV545-11	GWOSL824-11	0.176011	0.103406	657	57
ABLCX200-10	GWNC535-07	0.171934	0.126665	488	73
BGSNL2110-24	BLPEE1135-12	0.339125	0.121057	653	9
BBLOB1129-11	BLPAA51639-24	0.13167	0.109663	657	17
ANICU017-11	LEGI506-10	0.0526603	0.0702638	657	27
ABLCX200-10	BLPDV2434-18	0.179632	0.110612	488	70
BBLSX529-09	CWLMA183-14	0.0681243	0.0685491	657	38
ANICT888-11	FRUT188-09	0.141528	0.110883	657	27
ARCMB248-19	BCIAR134-10	0.231637	0.085036	657	38
ABLCU755-09	GBMIN81444-17	0.484022	0.136157	587	17
ABWYT31233-24	FRLAR287-18	0.0874558	0.11381	657	60
CATSE134-13	GWORC731-07	0.139208	0.157924	550	66
GBMIN79316-17	HYPOS129-23	0.223141	0.120635	656	3
BLPAA8008-17	CRKAS24876-23	0.111629	0.128174	654	23
GWOSH405-10	GWOSV791-11	0.118317	0.10611	657	31
CRQUC12842-23	GWOTD856-12	0.0876742	0.0998892	657	63
ANICW1511-11	PMANL3021-14	0.136705	0.116786	657	11
BLPDF122-09	GWORH121-09	0.157498	0.121163	657	63
ANICW1324-11	MAMTI710-12	0.291179	0.136273	548	10
ANICW1706-11	GBAAG5201-25	0.102211	0.0995831	656	13
PBEUP145-11	TBMOT885-10	0.135532	0.103104	657	31
MNAP286-12	MNAP300-12	0.188311	0.0622322	656	23
GBGL26603-19	GBMIN79300-17	0.0890299	0.0426759	655	9
FRUT067-09	SARBA767-09	0.347328	0.180351	657	4
ANICE624-10	BLPAA9657-17	0.135702	0.0735479	657	18
BLPDT1219-10	INSSD074-20	0.0821149	0.121036	654	25
ASARD1701-12	DNADY213-10	0.15015	0.0539398	657	30
GWORD1947-08	GWORG787-08	0.225903	0.182529	657	38
EOIS252-12	NGEOD260-11	0.104438	0.0722912	657	46
GBGLT262-14	LEPNF402-14	0.0454927	0.0397051	654	57
FAHCP254-22	SICOF409-19	0.0709963	0.138369	657	21
ANICW1452-11	LNAUZ2999-22	0.599441	0.120027	568	8
BMAD057-09	BMAD242-15	0.130453	0.116002	656	34
GWORU716-10	GWORU746-10	0.0993785	0.074079	657	72
CGLCA080-10	GWORU736-10	0.258498	0.140877	657	76
BCLEP1424-23	GWOTL1027-13	0.136271	0.0497363	652	46
BLPAA13381-18	GWOSC865-10	0.229019	0.123878	657	61
CGLCA080-10	GWORU716-10	0.213159	0.128626	657	71
GEOMB168-20	GWORA1054-08	0.112315	0.0998518	634	63
GBGL26517-19	GBMIN79300-17	0.0606125	0.057062	656	8
SARBF1862-15	SARBF307-13	0.0830837	0.0845223	656	41
CNPYA187-10	CNPYD486-10	0.0628564	0.0674063	657	25
ANICJ196-10	LEPMY1506-16	0.232061	0.134132	547	27
BCLEP4148-23	LEUAE799-12	0.144491	0.130012	654	4
GWORE165-08	LOCBB068-06	0.114306	0.115721	657	73
GWORD1428-08	GWORU826-10	0.0782239	0.0792117	657	60
EHL233-12	IRCJD154-15	0.104394	0.058608	657	36
ABLCV430-09	GWORR260-10	0.158848	0.0938538	606	51
BBLOB415-11	FRUT067-09	0.153002	0.136513	657	5
GBGL39138-19	LEUAE596-12	0.331657	0.149835	656	18
BLPAA1173-17	SARBF1573-15	0.180669	0.0853585	657	18
GBGL30212-19	LOCRA895-08	0.135979	0.182815	444	27
ANICW176-11	LNAUT1584-14	0.482655	0.118369	548	39
BLPAA13381-18	GWORE1339-08	0.148208	0.120435	657	65
BBLEC789-09	LNCC2030-14	0.117413	0.105048	657	56
BGSNL340-23	BGSNL368-23	0.198098	0.13367	656	59
ANIAB583-11	ANICQ187-11	0.160983	0.120968	538	33
GBGL26540-19	GBGL26625-19	0.0244055	0.122344	656	7
ABLCW916-10	CMBUT1824-21	0.215728	0.0803332	657	20
ABLCW774-10	BJUP344-17	0.0732761	0.0685277	657	19
ACML107-11	GBAAX13613-24	0.481875	0.120257	657	14
GWOR5471-13	GWORU636-10	0.147943	0.147068	635	66
MNAI478-09	NGSFT2546-16	0.250914	0.118708	657	13
BBLCU091-09	PMANL5454-17	0.0356161	0.0439629	657	41
GBAAK3929-25	GBMIN26915-13	0.151022	0.0348419	623	27
BBLSW441-09	NOCTU083-13	0.0840389	0.123349	598	28
BCMI011-11	NGSFT2424-16	0.430436	0.1516	634	1
GWOSC865-10	GWOTS171-17	0.103368	0.120764	657	63
GWOSS681-11	GWOSU438-11	0.214876	0.0896853	657	55
GWOSW869-11	GWOTB886-12	0.106821	0.116314	657	57
ASARD5328-12	ASARD5366-12	0.0101196	0.0170049	657	58
ABLCV382-09	CASBI3750-26	0.112661	0.039522	656	60
ASMIJ44782-24	MICRR151-17	0.109623	0.116885	656	8
BPAL384-11	BPAL427-11	0.098546	0.0860657	657	39
ANICD995-10	EILE047-21	0.186287	0.0873656	657	30
BLPEA206-11	LOCRE121-10	0.150992	0.110407	657	63
BLPAA1238-17	GWOTI867-12	0.0814009	0.103104	657	65
ANICW1129-11	ANICW1131-11	0.109979	0.0360937	657	15
DEEUR254-11	MNAP377-12	0.06494	0.0978161	657	27
FAHCP183-22	RIOGU190-21	0.0928927	0.0942105	407	20
FRLAR446-18	GWOR4534-09	0.159254	0.122838	657	69
BBLOE946-12	GWOUL293-23	0.233673	0.113181	657	3
CRQZA18717-22	GWORE165-08	0.126375	0.13942	652	73
GBMIN79311-17	LASDG840-23	0.680818	0.162969	656	0
CATSE072-13	GWORQ179-10	0.217758	0.136681	656	58
EOIS125-12	LOCRH795-11	0.04052	0.0312064	657	42
HYPOS176-23	LNAUX217-18	0.890647	0.147584	657	0
GBGL26526-19	NEPTA1201-15	0.677085	0.170721	656	0
ASARD845-11	BCIPY211-10	0.107288	0.0606034	657	31
HSPEC859-11	LNAUU1325-15	0.124142	0.101012	657	15
GBGL17667-15	LEPMY740-13	0.300853	0.131469	589	19
LNAUZ394-22	NGSFT2705-16	0.133482	0.0927275	567	56
GBGL26553-19	GBMIN79300-17	0.0777808	0.106394	656	5
GBGL26517-19	GBGL26532-19	0.0571433	0.09257	656	8
GWOR4552-09	GWORD163-07	0.0599341	0.0670651	657	44
ABLCX200-10	BLPDM2288-10	0.180378	0.109076	488	71
GWORE208-08	NGEOE166-12	0.0504127	0.0838047	657	41
GWORQ358-10	GWOTM441-14	0.0723722	0.102619	657	42
EZSPC276-09	GBMIN81737-17	0.24633	0.128174	654	25
ABLCX074-10	BCIGE916-21	0.106727	0.101254	657	50
GBGL26571-19	HYPOS114-23	0.228418	0.11886	656	5
